location,bedroom,bathroom,land_clean,building_clean,price_clean
"Summarecon Bandung, Bandung",2,2,66,54,1200000000
"Tubagus Ismail, Bandung",20,6,200,370,3500000000
"Ciwastra, Bandung",2,1,80,63,500000000
"Turangga, Bandung",4,2,140,120,1600000000
"Turangga, Bandung",3,2,165,80,1650000000
"Terusan Buah Batu, Bandung",2,1,82,55,650000000
"Summarecon Bandung, Bandung",2,2,66,54,1200000000
"Margahayu, Bandung",3,2,145,90,800000000
"BKR, Bandung",4,3,210,400,4300000000
"Pajajaran, Bandung",9,3,167,250,3500000000
"Cikutra, Bandung",4,4,401,350,5200000000
"BKR, Bandung",3,3,180,300,2250000000
"Setiabudi, Bandung",3,3,140,175,2600000000
"Setiabudi, Bandung",5,3,375,462,12500000000
"Buah Batu, Bandung",2,2,120,100,1200000000
"BKR, Bandung",3,3,108,123,2100000000
"Taman Kopo Indah, Bandung",2,2,162,150,1800000000
"Dago Pakar, Bandung",4,3,512,400,5000000000
"Taman Kopo Indah, Bandung",4,2,200,165,1250000000
"Antapani, Bandung",4,4,93,143,1900000000
"Mekar Wangi, Bandung",4,4,139,235,3850000000
"Lengkong, Bandung",5,3,190,230,5500000000
"Setiabudi, Bandung",3,3,188,154,2500000000
"Ujungberung, Bandung",5,4,1300,600,9500000000
"Ciumbuleuit, Bandung",3,2,600,170,6000000000
"Dago, Bandung",3,3,253,200,1600000000
"Antapani, Bandung",5,5,198,250,1650000000
"Bandung Kota, Bandung",4,5,126,170,2400000000
"Cigadung, Bandung",7,6,1100,620,16000000000
"Bandung Wetan, Bandung",4,3,407,400,9000000000
"Cipedes, Bandung",7,2,374,180,4600000000
"Cibogo, Bandung",5,3,325,500,3600000000
"Sariwangi, Bandung",3,2,66,60,750000000
"Cihanjuang, Bandung",3,2,225,185,1300000000
"Kota Baru Parahyangan, Bandung",3,3,198,173,4500000000
"Dago, Bandung",6,5,4485,1373,50000000000
"Setra Duta, Bandung",3,3,144,300,3200000000
"Summarecon Bandung, Bandung",4,3,144,172,3200000000
"Peta, Bandung",3,2,260,180,3770000000
"Kota Baru Parahyangan, Bandung",3,3,108,200,1800000000
"Cibaduyut, Bandung",2,1,115,70,850000000
"Riau, Bandung",7,5,1225,1254,50000000000
"Pasteur, Bandung",5,4,130,150,2200000000
"Sarijadi, Bandung",3,3,150,210,1990000000
"Antapani, Bandung",3,3,233,200,1650000000
"Tubagus Ismail, Bandung",7,6,319,350,4500000000
"Pasteur, Bandung",4,3,400,200,6500000000
"Antapani, Bandung",2,2,135,110,1300000000
"Pasteur, Bandung",5,5,320,473,4950000000
"Cibogo, Bandung",5,3,325,500,3600000000
"Lembang, Bandung",2,2,267,120,1500000000
"Antapani, Bandung",3,2,168,120,1850000000
"Holis Cigondewah, Bandung",1,1,119,60,1100000000
"Buah Batu, Bandung",4,3,195,185,3000000000
"Cibaduyut, Bandung",2,1,115,70,850000000
"Buah Batu, Bandung",2,1,200,69,2800000000
"Cibogo, Bandung",5,3,325,500,3600000000
"Pajajaran, Bandung",2,1,127,80,1200000000
"Braga, Bandung",5,1,373,175,7500000000
"Cileunyi, Bandung",3,3,862,540,2800000000
"Dago, Bandung",5,1,104,140,1800000000
"Setra Duta, Bandung",4,3,126,180,2800000000
"Kota Baru Parahyangan, Bandung",3,1,108,80,1590000000
"Cileunyi, Bandung",3,2,105,90,500000000
"Terusan Buah Batu, Bandung",2,1,120,80,725000000
"Bandung Kota, Bandung",4,4,187,185,2500000000
"Cigadung, Bandung",3,3,151,200,1970000000
"Dago Pakar, Bandung",5,4,647,500,11700000000
"Buah Batu, Bandung",3,2,106,160,2250000000
"Sayap Dago, Bandung",4,3,898,400,28000000000
"Dago Pakar, Bandung",3,4,410,600,8000000000
"Antapani, Bandung",3,2,135,90,1200000000
"Dago Pakar, Bandung",3,3,350,145,6820000000
"Kota Baru Parahyangan, Bandung",3,1,108,80,1590000000
"Sarijadi, Bandung",5,4,318,300,5750000000
"Cibogo, Bandung",5,3,325,500,3600000000
"Dago, Bandung",3,3,550,180,3500000000
"Bandung Kota, Bandung",4,4,215,275,3950000000
"Arcamanik, Bandung",5,4,121,128,1500000000
"Burangrang, Bandung",10,6,467,300,14000000000
"Riau, Bandung",3,7,907,238,27500000000
"Antapani, Bandung",4,4,128,300,3750000000
"Regol, Bandung",5,3,237,270,3500000000
"Astanaanyar, Bandung",2,2,106,350,5000000000
"Gatot Subroto, Bandung",6,5,479,300,14000000000
"Buah Batu, Bandung",2,1,200,69,2800000000
"Buah Batu, Bandung",2,1,200,69,2800000000
"Ciateul, Bandung",3,2,130,110,1650000000
"Mekar Wangi, Bandung",4,4,146,252,3900000000
"Baleendah, Bandung",2,1,60,60,222000000
"Peta, Bandung",3,2,500,300,4500000000
"Arcamanik, Bandung",8,7,751,554,9500000000
"Bandung Kulon, Bandung",3,1,178,100,850000000
"Turangga, Bandung",3,3,108,130,2500000000
"Turangga, Bandung",4,4,187,185,2750000000
"Pondok Hijau, Bandung",4,3,225,180,2400000000
"Kota Baru Parahyangan, Bandung",4,3,360,250,4800000000
"Kota Baru Parahyangan, Bandung",3,2,198,140,3400000000
"BKR, Bandung",3,2,108,95,1350000000
"Bojongsoang, Bandung",3,2,101,60,590000000
"Setra Sari, Bandung",4,3,600,460,8500000000
"BKR, Bandung",7,4,398,450,3600000000
"Riau, Bandung",4,2,488,125,14000000000
"Setra Sari, Bandung",4,2,124,154,2000000000
"Setra Sari, Bandung",3,2,500,350,7250000000
"Setra Sari, Bandung",5,4,456,240,9500000000
"Kopo, Bandung",4,3,172,220,1900000000
"Buah Batu, Bandung",2,1,70,45,245000000
"Setiabudi, Bandung",2,2,90,105,1370000000
"Setiabudi, Bandung",3,2,124,200,1800000000
"Bojongsoang, Bandung",2,1,70,50,190000000
"Bojongsoang, Bandung",2,1,70,45,190000000
"Setiabudi, Bandung",3,3,197,250,2300000000
"Setiabudi, Bandung",5,4,500,380,3250000000
"Setiabudi, Bandung",4,3,159,263,2400000000
"Setiabudi, Bandung",3,2,198,135,2100000000
"Setiabudi, Bandung",5,3,500,800,6000000000
"Setiabudi, Bandung",3,3,128,135,1850000000
"Bojongsoang, Bandung",2,1,70,45,245000000
"Bojongsoang, Bandung",2,1,70,45,245000000
"Bojongsoang, Bandung",3,2,98,68,998000000
"Kota Baru Parahyangan, Bandung",2,1,72,90,1000000000
"Cibiru, Bandung",3,2,98,100,600000000
"Kopo, Bandung",3,3,108,165,1250000000
"Rancasari, Bandung",2,1,78,50,625000000
"Kota Baru Parahyangan, Bandung",3,2,144,100,2069999999.9999998
"Kota Baru Parahyangan, Bandung",4,3,162,217,3700000000
"Setiabudi, Bandung",3,2,319,165,4200000000
"Regol, Bandung",4,2,140,120,1600000000
"Setiabudi, Bandung",4,3,180,230,1350000000
"Cihanjuang, Bandung",2,1,60,50,485000000
"Buah Batu, Bandung",5,3,185,180,1750000000
"Batununggal, Bandung",4,2,140,190,3000000000
"Riau, Bandung",5,4,456,187,14000000000
"Batununggal, Bandung",5,4,350,450,4200000000
"Setra Duta, Bandung",4,3,353,350,7000000000
"Arcamanik, Bandung",4,3,169,140,1700000000
"Kota Baru Parahyangan, Bandung",3,2,126,100,1900000000
"Kota Baru Parahyangan, Bandung",5,3,162,250,3850000000
"Padalarang, Bandung",3,2,128,200,650000000
"Regol, Bandung",2,1,140,120,1500000000
"Leuwi Panjang, Bandung",3,2,85,100,975000000
"Pasteur, Bandung",22,6,87,280,1800000000
"Andir, Bandung",3,2,274,100,2600000000
"Turangga, Bandung",4,4,110,180,2650000000
"Dago, Bandung",5,4,1217,900,40000000000
"Buah Batu, Bandung",4,2,427,350,9500000000
"Setiabudi, Bandung",5,4,880,500,15000000000
"Kota Baru Parahyangan, Bandung",4,3,260,145,4300000000
"Buah Batu, Bandung",2,2,96,94,1000000000
"Setiabudi, Bandung",4,3,250,180,2550000000
"Turangga, Bandung",4,3,286,150,2700000000
"Regol, Bandung",5,3,237,270,3500000000
"Kota Baru Parahyangan, Bandung",4,3,162,217,3700000000
"Setra Duta, Bandung",4,4,153,298,4700000000
"Riau, Bandung",7,6,600,800,29000000000
"Katapang, Bandung",2,1,70,45,270000000
"Cigadung, Bandung",5,4,180,280,3500000000
"Kiaracondong, Bandung",2,1,60,36,250000000
"Cigadung, Bandung",6,6,468,400,5300000000
"Setra Sari, Bandung",4,4,250,350,4300000000
"Riau, Bandung",5,4,538,389,18000000000
"Bandung Kota, Bandung",4,3,224,300,2850000000
"Geger Kalong, Bandung",4,3,108,120,1590000000
"Padalarang, Bandung",3,2,120,95,2950000000
"Soreang, Bandung",3,2,63,63,705000000
"Batununggal, Bandung",8,8,650,700,11000000000
"Buah Batu, Bandung",4,4,170,250,1850000000
"Dago, Bandung",3,3,98,122,1900000000
"Setiabudi, Bandung",3,3,472,400,4600000000
"Arcamanik, Bandung",3,2,63,70,810000000
"Setra Duta, Bandung",3,2,105,170,2500000000
"Setiabudi, Bandung",4,3,200,138,3500000000
"Dago, Bandung",14,6,200,304,2950000000
"Dago, Bandung",17,17,424,800,5400000000
"Setiabudi, Bandung",4,5,495,700,23000000000
"Setiabudi, Bandung",4,4,314,200,3250000000
"Pasteur, Bandung",6,4,603,450,5850000000
"Dago, Bandung",5,4,149,230,2470000000
"Batununggal, Bandung",3,2,126,190,2100000000
"Antapani, Bandung",4,3,224,300,2850000000
"Batununggal, Bandung",4,4,390,354,5400000000
"Batununggal, Bandung",3,1,200,100,2300000000
"Antapani, Bandung",4,2,165,220,1980000000
"Batununggal, Bandung",4,3,300,190,5100000000
"Batununggal, Bandung",5,4,400,380,7500000000
"Setiabudi, Bandung",5,5,4670,800,95000000000
"Batununggal, Bandung",4,4,240,360,4099999999.9999995
"Kota Baru Parahyangan, Bandung",3,1,108,80,1590000000
"Lengkong, Bandung",11,7,161,140,2700000000
"Lengkong, Bandung",11,7,161,140,2700000000
"Batununggal, Bandung",5,3,260,305,4400000000
"Batununggal, Bandung",3,2,307,240,3830000000
"Cibiru, Bandung",4,3,125,250,1800000000
"Buah Batu, Bandung",2,1,60,36,250000000
"Batununggal, Bandung",3,3,198,200,3400000000
"Sukajadi, Bandung",5,2,345,249,3000000000
"Cigadung, Bandung",3,3,98,122,1900000000
"Soreang, Bandung",2,1,72,36,470000000
"Arcamanik, Bandung",3,3,100,110,1130000000
"Kopo, Bandung",4,3,120,150,975000000
"Cibaduyut, Bandung",6,3,170,250,2100000000
"Arcamanik, Bandung",3,1,96,75,850000000
"Ujungberung, Bandung",3,2,150,120,900000000
"Kota Baru Parahyangan, Bandung",3,2,120,110,3000000000
"Bojongsoang, Bandung",3,2,88,120,950000000
"Kota Baru Parahyangan, Bandung",3,2,192,84,2950000000
"Arcamanik, Bandung",3,2,176,100,1200000000
"Ciwastra, Bandung",2,1,60,36,250000000
"Summarecon Bandung, Bandung",2,1,72,45,600000000
"Lengkong, Bandung",5,4,470,250,5500000000
"Kota Baru Parahyangan, Bandung",3,2,126,120,2390000000
"Setiabudi, Bandung",5,5,372,162,2300000000
"Setiabudi, Bandung",2,1,100,80,900000000
"Padalarang, Bandung",2,1,62,22,90000000
"Arcamanik, Bandung",4,3,100,160,1350000000
"Antapani, Bandung",2,2,106,80,1270000000
"Ciwastra, Bandung",3,2,64,68,850000000
"Taman Kopo Indah, Bandung",2,2,114,90,1300000000
"Taman Kopo Indah, Bandung",3,2,120,120,1100000000
"Taman Kopo Indah, Bandung",4,2,130,100,1100000000
"Taman Kopo Indah, Bandung",2,2,45,72,700000000
"Taman Kopo Indah, Bandung",4,2,170,200,1500000000
"Taman Kopo Indah, Bandung",2,1,92,90,999000000
"Holis Cigondewah, Bandung",5,2,180,170,1750000000
"Kota Baru Parahyangan, Bandung",3,2,126,105,2760000000
"Taman Kopo Indah, Bandung",2,1,102,70,1150000000
"Holis Cigondewah, Bandung",3,2,167,167,1700000000
"Taman Kopo Indah, Bandung",4,3,150,130,1350000000
"Kopo, Bandung",3,1,134,120,899000000
"Buah Batu, Bandung",3,2,80,100,1650000000
"Ciwastra, Bandung",4,2,96,72,675000000
"Bandung Kota, Bandung",3,2,120,60,700000000
"Buah Batu, Bandung",5,4,470,420,2500000000
"Bojongloa, Bandung",5,4,189,356,2750000000
"Mekar Wangi, Bandung",4,4,146,252,3900000000
"Antapani, Bandung",3,2,108,100,1100000000
"Burangrang, Bandung",6,5,336,448,10000000000
"Soekarno Hatta, Bandung",4,3,128,85,1700000000
"Bojongsoang, Bandung",3,2,119,70,1250000000
"Turangga, Bandung",3,2,126,120,1300000000
"Margacinta, Bandung",3,2,143,100,1250000000
"Babakanciparay, Bandung",3,2,132,160,2049999999.9999998
"Padalarang, Bandung",2,1,70,22,100000000
"Batununggal, Bandung",4,3,390,354,5500000000
"Riau, Bandung",4,2,530,300,11600000000
"Cihanjuang, Bandung",2,1,80,60,799000000
"Taman Kopo Indah, Bandung",4,3,144,151,1300000000
"Sarijadi, Bandung",3,1,167,87,1600000000
"Batununggal, Bandung",5,5,513,350,4099999999.9999995
"Setra Duta, Bandung",4,4,157,298,4750000000
"Holis Cigondewah, Bandung",3,2,111,110,1120000000
"Padalarang, Bandung",2,1,70,22,80000000
"Sayap Dago, Bandung",4,3,198,150,2490000000
"Turangga, Bandung",7,4,304,233,4000000000
